County,Street Address,City,State,Zip
Ashtabula               ,NW corner of Jefferson and Chestnut Sts.                                                                                ,Jefferson                           ,OH,
Ashtabula               ,Ashtabula Harbor                                                                                                        ,Ashtabula                           ,OH,
Ashtabula               ,Both sides of W. 5th St. from 1200 block to Ashtabula River                                                             ,Ashtabula                           ,OH,
Ashtabula               ,1879 OH 45                                                                                                              ,Austinburg                          ,OH,
Ashtabula               ,441 Seven Hills Rd.                                                                                                     ,Ashtabula                           ,OH,
Ashtabula               ,Address Restricted                                                                                                      ,Wayne                               ,OH,
Ashtabula               ,1106 Walnut Blvd.                                                                                                       ,Ashtabula                           ,OH,
Ashtabula               ,230-238 State St.                                                                                                       ,Conneaut                            ,OH,
Ashtabula               ,OH 307                                                                                                                  ,Austinburg                          ,OH,
Ashtabula               ,"W breakwater pierhead, harbor entrance                                                                                  ",Conneaut                            ,OH,
Ashtabula               ,1059 Harbor St.                                                                                                         ,Conneaut                            ,OH,
Ashtabula               ,Address Restricted                                                                                                      ,Conneaut                            ,OH,
Ashtabula               ,301 Liberty St.                                                                                                         ,Conneaut                            ,OH,
Ashtabula               ,"5254 Lake Rd., E                                                                                                        ",Geneva-on-the-Lake                  ,OH,
Ashtabula               ,112 N. Chestnut St.                                                                                                     ,Jefferson                           ,OH,
Ashtabula               ,1467 Brown Rd.                                                                                                          ,Jefferson                           ,OH,
Ashtabula               ,1641 E. Prospect Rd.                                                                                                    ,Ashtabula                           ,OH,
Ashtabula               ,County Road 154 over the Grand River                                                                                    ,Harpersfield                        ,OH,
Ashtabula               ,"246, 250, 256 Main St.                                                                                                  ",Conneaut                            ,OH,
Ashtabula               ,5248 Stanhope-Kelloggsville Rd.                                                                                         ,West Andover                        ,OH,
Ashtabula               ,4726 Main Ave.                                                                                                          ,Ashtabula                           ,OH,
Ashtabula               ,OH 46 and Richmond-Footville Rd.                                                                                        ,Rays Corner                         ,OH,
Ashtabula               ,Corner of Lake Ave. and Walnut Blvd.                                                                                    ,Ashtabula                           ,OH,
Ashtabula               ,27 E. Jefferson St.                                                                                                     ,Jefferson                           ,OH,
Ashtabula               ,1025 Buffalo St.                                                                                                        ,Conneaut                            ,OH,
Ashtabula               ,147 E. Jefferson St.                                                                                                    ,Jefferson                           ,OH,
Ashtabula               ,342 Depot St.                                                                                                           ,Conneaut                            ,OH,
Ashtabula               ,1500 W. 6th St.                                                                                                         ,Ashtabula                           ,OH,
Ashtabula               ,929 Brownville Rd.                                                                                                      ,South New Lyme                      ,OH,
Ashtabula               ,N of South New Lyme at 6000 NC 46                                                                                       ,South New Lyme                      ,OH,
Ashtabula               ,2646 Eagleville Rd.                                                                                                     ,Eagleville                          ,OH,
Ashtabula               ,2987 High St.                                                                                                           ,Rock Creek                          ,OH,
Ashtabula               ,6333 S. Ridge Rd.                                                                                                       ,Geneva                              ,OH,
Ashtabula               ,SR 531 over Ashtabula River                                                                                             ,Ashtabula                           ,OH,
Ashtabula               ,U.S. 322 and OH 534                                                                                                     ,Windsor                             ,OH,
Ashtabula               ,Wisell Rd. and U.S. 322                                                                                                 ,Windsor Mills                       ,OH,
Ashtabula               ,Address Restricted                                                                                                      ,Windsor                             ,OH,
Ashtabula               ,Wiswell Rd. over Phelps Creek                                                                                           ,Windsor Mills                       ,OH,
Belmont                 ,31st St.                                                                                                                ,Bellaire                            ,OH,
Belmont                 ,300 E. Church St.                                                                                                       ,Barnesville                         ,OH,
Belmont                 ,"Roughly bounded by Arch, Main, Gardner, Chestnut, Bond and Cherry Sts.                                                  ",Barnesville                         ,OH,
Belmont                 ,Address Restricted                                                                                                      ,Barnesville                         ,OH,
Belmont                 ,65100 Candlewick Ln.                                                                                                    ,Belaire                             ,OH,
